id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_kasus,jumlah_kasus,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,KASUS BARU,0,ORANG,2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,KASUS KUMULATIF,0,ORANG,2019
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KASUS BARU,35,ORANG,2019
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KASUS KUMULATIF,0,ORANG,2019
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KASUS BARU,0,ORANG,2019
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KASUS KUMULATIF,0,ORANG,2019
7,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KASUS BARU,0,ORANG,2019
8,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KASUS KUMULATIF,0,ORANG,2019
9,32,JAWA BARAT,3205,KABUPATEN GARUT,KASUS BARU,0,ORANG,2019
10,32,JAWA BARAT,3205,KABUPATEN GARUT,KASUS KUMULATIF,0,ORANG,2019
11,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KASUS BARU,5,ORANG,2019
12,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KASUS KUMULATIF,0,ORANG,2019
13,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KASUS BARU,95,ORANG,2019
14,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KASUS KUMULATIF,0,ORANG,2019
15,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KASUS BARU,55,ORANG,2019
16,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KASUS KUMULATIF,330,ORANG,2019
17,32,JAWA BARAT,3209,KABUPATEN CIREBON,KASUS BARU,0,ORANG,2019
18,32,JAWA BARAT,3209,KABUPATEN CIREBON,KASUS KUMULATIF,0,ORANG,2019
19,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KASUS BARU,93,ORANG,2019
20,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KASUS KUMULATIF,100,ORANG,2019
21,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KASUS BARU,6,ORANG,2019
22,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KASUS KUMULATIF,13,ORANG,2019
23,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KASUS BARU,93,ORANG,2019
24,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KASUS KUMULATIF,68,ORANG,2019
