id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_posyandu,satuan,tahun
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,4997,UNIT,2019
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3493,UNIT,2019
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2908,UNIT,2019
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,4299,UNIT,2019
86,32,JAWA BARAT,3205,KABUPATEN GARUT,4223,UNIT,2019
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2349,UNIT,2019
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1602,UNIT,2019
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1427,UNIT,2019
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,3,UNIT,2019
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1485,UNIT,2019
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1665,UNIT,2019
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2347,UNIT,2019
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,1891,UNIT,2019
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1051,UNIT,2019
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2334,UNIT,2019
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,2786,UNIT,2019
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2330,UNIT,2019
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,527,UNIT,2019
100,32,JAWA BARAT,3271,KOTA BOGOR,979,UNIT,2019
101,32,JAWA BARAT,3272,KOTA SUKABUMI,452,UNIT,2019
102,32,JAWA BARAT,3273,KOTA BANDUNG,1987,UNIT,2019
103,32,JAWA BARAT,3274,KOTA CIREBON,353,UNIT,2019
104,32,JAWA BARAT,3275,KOTA BEKASI,1599,UNIT,2019
105,32,JAWA BARAT,3276,KOTA DEPOK,1032,UNIT,2019
106,32,JAWA BARAT,3277,KOTA CIMAHI,402,UNIT,2019
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,874,UNIT,2019
108,32,JAWA BARAT,3279,KOTA BANJAR,199,UNIT,2019
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,5020,UNIT,2020
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3510,UNIT,2020
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2922,UNIT,2020
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,4308,UNIT,2020
113,32,JAWA BARAT,3205,KABUPATEN GARUT,4221,UNIT,2020
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2402,UNIT,2020
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1604,UNIT,2020
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1429,UNIT,2020
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,2660,UNIT,2020
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1489,UNIT,2020
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1683,UNIT,2020
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2340,UNIT,2020
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,1908,UNIT,2020
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1032,UNIT,2020
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2358,UNIT,2020
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,2819,UNIT,2020
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2315,UNIT,2020
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,531,UNIT,2020
127,32,JAWA BARAT,3271,KOTA BOGOR,980,UNIT,2020
128,32,JAWA BARAT,3272,KOTA SUKABUMI,456,UNIT,2020
129,32,JAWA BARAT,3273,KOTA BANDUNG,1988,UNIT,2020
130,32,JAWA BARAT,3274,KOTA CIREBON,335,UNIT,2020
131,32,JAWA BARAT,3275,KOTA BEKASI,1611,UNIT,2020
132,32,JAWA BARAT,3276,KOTA DEPOK,1035,UNIT,2020
133,32,JAWA BARAT,3277,KOTA CIMAHI,404,UNIT,2020
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,884,UNIT,2020
135,32,JAWA BARAT,3279,KOTA BANJAR,201,UNIT,2020
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,5133,UNIT,2021
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3503,UNIT,2021
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2929,UNIT,2021
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,4308,UNIT,2021
140,32,JAWA BARAT,3205,KABUPATEN GARUT,4221,UNIT,2021
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2395,UNIT,2021
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1608,UNIT,2021
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1136,UNIT,2021
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,2670,UNIT,2021
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1422,UNIT,2021
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1698,UNIT,2021
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1985,UNIT,2021
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,1907,UNIT,2021
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1043,UNIT,2021
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2364,UNIT,2021
